Agent,  Revenue  ,R/N,Avg.rate,,
"Anatolian Express Co., Ltd.","403,640.19",524,770.30,,
"Agoda Co.,Ltd (APS Rate)","393,394.80",336,"1,170.81",,
"Cosmo Travel Inter Trade Co.,","256,735.51",335,766.37,,
Booking.Com,"248,442.65",162,"1,533.59",,
PGS International Ltd./Pegas,"222,935.94",248,898.93,,
"Manit Travel Co., Ltd.","170,806.04",172,993.05,,
Expedia Travel,"167,101.17",129,"1,295.35",,
Biblio-Globus International Co,"152,167.56",169,900.39,,
AB Food & Beverages (Thailan,"124,791.05",125,998.32,,
"Stone Activity Co.,Ltd","118,826.98",128,928.33,,
FIT (Foreign Individual Travel,"114,024.40",68,"1,676.82",,
Asiajet (Thailand) Ltd. - Group,"103,704.42",142,730.31,,
